start	end	text
21209	21730	Good evening.
22591	28379	Once again tonight, London and the country as a whole are having to come to terms with a horrific terror attack.
29080	32385	Two members of the public are now dead, as is the man who attacked them.
32445	34528	Others are injured, some seriously.
34889	44162	Now, we will, of course, reflect on that tonight, as well as covering the many other important issues confronting the country, before we vote in less than two weeks' time.
44918	74622	Here to make their case, to ask for your vote, and to seek a slice of power at Westminster, are the Liberal Democrat leader, Joe Swinson, Nicola Sturgeon, First Minister of Scotland and the leader of the SNP, Chairman of the Brexit Party, Richard Tice, the Conservative Chief Secretary to the Treasury, Wishie Sunak, for Labour, Shadow Business Secretary, Rebecca Long-Bailey, Caroline Lucas of the Green Party, and Adam Price, leader, Applied Cymru.
81318	87645	Now, in case you're wondering why all the party's leaders aren't here, we invited the parties to send either their leader or a leading figure.
87665	88626	The decision was theirs.
89327	100359	Here with them in Cardiff are Audience, who've been chosen by the pollsters Savanta Comres, who recruited people from all backgrounds and all parts of the UK who support each of these seven parties.
100720	105425	Now, they're not here to be fans of rival teams cheering on one side or booing the other.
105465	106586	They're here to put the questions.
107247	109890	But under the rules, and there are always rules for these occasions,
110191	113957	They don't get to cross-examine the politicians, and neither really do I.
113997	120328	My job is to try and ensure that their questions do get answered and that everyone gets a fair hearing.
120388	127159	So forgive me, politicians, if occasionally I have to interrupt you to keep order so that you don't talk over each other.
127720	132908	Now, you can join in at home as you're watching using the hashtag BBC debate.
133141	136707	Before our first question, everyone has a minute to set out their stall.
137228	139252	The order for that was decided by drawing lots.
140073	143459	First tonight, the Liberal Democrat leader, Jo Swinson.
145583	156803	Before I start, I want to pay tribute to the bravery of our emergency services, and my thoughts are with everybody affected by this afternoon's horrific terrorist attack.
157745	165361	My dad taught me always to ask questions, to challenge the way things are and work to change them for the better.
166102	168588	And I believe things can be better.
169229	178909	That we can remain in the European Union and have more money to spend on improving your life right now and more to invest in our children's future.
179193	190131	Imagine a country where you are valued for who you are, no matter what God you pray to or none, how much money you have, the colour of your skin or who you love.
190651	202469	where we nurture the bonds in our family of nations, our United Kingdom, where we work with our closest friends to save our planet, where we look after the most vulnerable and our children have the best start in life.
203030	209720	If you share my vision for our country, if you want to stop Brexit and build a brighter future, vote Liberal Democrat.
210441	210842	Thank you.
210882	214127	Next up is the Green Party's Caroline Lucas.
214478	218743	Tonight, I'm going to correct one big lie and tell one big truth.
219504	222368	First, the big lie, get Brexit done.
223189	226253	Boris Johnson's rotten deal will not get it done.
226874	229217	It's just the start of years more wrangling.
229657	234443	His oven-ready meal is made of chlorinated chicken and it will make us all sick.
235104	239710	And when we turn up at the hospital, we'll find it's been flogged off to Trump's America.
239690	245545	That's why the Green Party supports a people's vote on Brexit and will campaign wholeheartedly to remain.
246768	247891	Now, the big truth.
248733	251279	From the Arctic to the Amazon, the world is on fire.
252041	256332	Scientists say we have just 10 years to stop runaway climate chaos.
256463	260347	This emergency requires us to rise up and to be our best.
261068	267454	An opportunity not just to avert disaster, but through an ambitious Green New Deal to fix Britain for good.
268235	272559	This election is the greatest, perhaps the last, chance to change course.
273400	274321	Children can't vote.
274801	275802	The planet can't vote.
276443	277284	It is up to you.
277304	279886	And I ask you, if not now, when?
279906	281348	Thank you.
281388	283770	Next, for Labour, Rebecca Long-Bailey.
284054	287279	Thank you, Nick, and to everyone watching this debate tonight.
287860	301119	I'm sure everyone's thoughts are with all those caught up in the horrific incident at London Bridge earlier today, and our thoughts are with the friends and families of those injured and, of course, the two people who we know have tragically died.
301599	313116	I want to thank the police and emergency services for all they did today and all they do every day to keep us safe, and, of course, the bravery of those members of the public who intervened.
313990	321040	This election gives you a real choice about the future for you and your family and for our country.
321842	335842	I want a government that is on your side, not a government that stands by while too many families are struggling to make ends meet, while one and a half million older people don't get the care they need and while we face a climate emergency.
335922	337905	We can do better.
337885	346585	Labour will build that fairer Britain that cares for all, that transforms our country, because we are on your side.
347567	347968	Thank you.
348268	350393	Next, the Conservatives' Rishi Subhak.
351807	355111	Our thoughts are, of course, with all of those tragically affected today.
355151	360038	And I pay tribute to the members of the public and the police for their incredible bravery.
360779	366246	But turning to tonight's debate, everyone in this country is frustrated.
366947	371593	Frustrated that Parliament's been stuck going round in circles on Brexit.
372494	374617	We all want to move on.
374657	379603	And with your support, we can do exactly that.
379735	382138	We have a new Brexit deal ready to go.
382178	387704	We'll bring it back to Parliament before Christmas and leave by the end of January.
388545	395733	And then we can get back to focusing on your priorities, the NHS, schools, cutting crime.
396614	401980	But the only way to make this happen is to elect a Conservative government.
402128	405214	So let's end the delay and get Brexit done.
405775	413851	Because there's so much else that we have to do to unleash the potential of a proud, prosperous and united Britain.
414652	415053	Thank you.
415213	417758	Now the Leader of Plaid Cymru, Adam Price.
418109	420373	Croeso i Gymru, welcome to Wales.
420393	426124	We're a country with great potential, rich in talent and resources, held back by poverty.
426705	430753	And the greatest poverty of all, perhaps, is the poverty of our leadership.
430773	437586	Labour have been in power in this building for 20 years, and for half of that time in Westminster too.
437836	445266	We have the lowest wages across these islands, a third of our children living in poverty and the worst A&E waiting times on record.
445987	452917	Labour and the Tories, of course, will blame each other, but the truth is neither of them are the solution to our problems.
453478	455140	They are our problem source.
455861	460047	On Brexit, like everything else, they lie to us or they let us down.
460162	466170	We want Wales to remain in the European Union, but one thing we don't want to remain in is poverty.
466890	470615	And we don't have to if we start to believe in our own future.
470675	477844	The new start we need as a nation, the new investment, the new leadership, the new hope will never come from Westminster.
478385	483992	It can only come from us, from all of us that live in Wales and want to see it prosper.
484057	490879	Let's make this winter our Welsh spring and find our voice on the 12th of December.
491601	492364	Thank you very much.
492685	496497	Now for the SNP, the party leader and Scotland's First Minister, Nicola Sturgeon.
496628	502276	My thoughts, too, are with those attacked on London Bridge today and with all those who responded.
503237	504359	This election really matters.
504819	508965	At stake is not just Brexit, but what kind of society we want to be.
509806	519379	The SNP wants Scotland to be an independent, outward-looking, internationalist country, and we want the people of Scotland to have the right to make that choice.
519359	524006	But we also want to play our part in locking Boris Johnson out of Downing Street.
524627	528072	If he wins the majority, then the consequences will be dire.
528592	530715	Brexit will not, in any sense, be done.
531376	533499	Trade talks haven't even started yet.
533860	537385	These issues will cause chaos for years to come.
537365	544235	In his rush for a trade deal with Donald Trump, Johnson simply can't be trusted not to put our NHS on the table.
544836	550284	He also threatens to rip up rules on food standards, environmental protections and workers' rights.
550865	553929	To build a better future, we need to stop all of that.
554410	557314	And in Scotland, that means voting SNP.
557975	558376	Thank you.
558396	561280	And finally, the chairman of the Brexit Party, Richard Tice.
561682	567912	Firstly, I just want to share the thoughts that others have expressed about the horrific events in London today.
568934	575304	But as we look forward, just imagine, with Brexit done properly, we have an amazing future.
575925	577688	And that's why I am here.
578389	588685	I want the least well-off to benefit the most, with cheaper fuel, food, clothing, shoes, with wages growing faster than for decades.
589171	600708	Imagine thousands and thousands of new jobs created where they are most needed, with hundreds of new fishing boats filling our harbours, many built in Britain.
601669	613086	Imagine £100 billion of new local road and rail projects being built in every region, including the North East, which has been so left behind.
613488	622461	I want us to be world leaders in training doctors, nurses, carers, world leaders in planting new trees and recycling.
623442	629011	But we have to restore trust in democracy with major political reforms.
629892	631234	I'm excited by the future.
631955	633537	It's time to change politics for good.
634218	635580	It's time for the Brexit party.
636573	637675	Thank you very much indeed.
637715	645085	Now, the aim of tonight is to have a lively debate about a whole range of issues which I hope are the ones that are concerning you at home.
645125	656120	But, of course, our thoughts tonight are particularly on the events in London, so we're going to begin with a question about that from Tony Wilcox, a retired Chief Inspector of Police.
656140	656961	Mr Wilcox, please.
658563	664251	Tragically, no amount of extra police officers will prevent terrorist attacks like the one in London today.
664940	669407	What do the panel members propose to do to tackle security issues in the UK in future?
670168	670549	Thank you.
670789	676338	What do you, Rishi Sunak, what do the Conservatives plan to do to tackle security issues in the future?
677119	687736	Well, Mr Wilcox, I was in Parliament just a couple of years ago when the awful incident happened, and I saw firsthand the bravery and ultimately the sacrifice of your colleagues that day.
688136	693124	So I pay enormous tribute and thanks to the work that you and your colleagues do to keep us safe.
693104	698693	And as we reflect on today's events, of course, our thoughts are with all of those who are affected by these awful events.
699314	701719	It's a tragedy and our prayers are with them.
702219	705926	Now, the first duty of every government is to keep us safe.
706386	714400	And, of course, a Conservative government will continue to do that, investing in our police, giving them the resources and the powers that they need to do that job.
714440	716243	And you can rest assured on that.
716223	717807	But today we saw something else.
718268	727829	We saw ordinary members of the public, not the government, ordinary members of the public showing incredible bravery to help intervene and protect their fellow citizens.
728330	732039	They represent absolutely the best of our values.
732440	733422	Rebecca Long-Bailey.
733807	743845	Well, I think today's event was horrific, and it will alter the lives of people involved forever, not to mention the families who were affected by the two people who were tragically killed.
743885	746610	And our hearts and our prayers are with them all.
746990	753662	And of course, as I've already paid tribute to the amazing police for their response and those passersby who intervened.
754223	756507	But this was an extreme event.
756487	763745	But we can't ignore that over recent years, certainly the last five years, we've seen increases in violent crime right across the country.
764106	770923	At the same time, since 2010, we've seen over 20,000 police officers cut from frontline services.
771244	773550	So it's right to recognise that that would have
773530	793817	direct impact and of course we've got to invest more in community neighbourhood policing and Labour has pledged to do that, the eyes and ears of our communities, but we've also got to invest in counter-terrorism measures and ensure that they're properly funded as well as ensuring that our defence spending is at the level it should be and we've committed to that 2% NATO target.
793797	799948	Well, the final message that I'd put to the audience on this is that we do need to have that comprehensive community approach.
800289	802934	And that doesn't just focus on police and defence spending.
803214	812151	It's right across social services, probation, education, and reversing the cuts that have happened there so that we can spot any alarming signs when they arise.
812732	813493	Nicola Sturgeon.
813473	824918	Well, firstly, I want to say again that my thoughts are with everybody affected on London Bridge today with those who sustained injuries and I think in particular the two families this evening who are facing up to the loss of a loved one.
825660	829508	We witnessed today some exceptional acts of
829488	834756	bravery on the part of members of the public and I, like I'm sure all of us are, are full of admiration.
835217	845353	It's how all of us hope we'd respond in a situation like that but in truth none of us know until we're confronted by it and hopefully we will not be in that position.
845333	855957	In terms of what we do, we have to make sure that we support our security services, that we keep access to the best intelligence, which is one of many reasons that I think leaving the European Union is a mistake.
855997	862431	And although the gentleman is right, no amount of police officers can prevent every terrorist attack.
862411	868504	the numbers of police officers is important in ensuring the speed of response we saw from the emergency services today.
868945	873855	The SNP government in Scotland has over the past decade increased and maintained police numbers.
874336	883035	I think it is regrettable that hasn't happened elsewhere in the UK and I hope after this election we will see police officers get the support that they so richly deserve.
883910	901142	Well, I think everybody feels just heartbroken at what we've witnessed today on London Bridge and huge, huge courage shown by those members of the public and the emergency services that should be commended.
901122	922978	I think the other thing that I'm struck by when we face these types of challenges as a country, and we've seen these in London, we saw them a few years ago in Manchester, is the way in which the community pulls together is inspiring, and that gives me real hope about how we come together as a country.
922958	931467	In terms of security we do need to have more police and we've set out plans to increase police numbers by 20,000.
932208	945622	I think it's also important that we look at what the police do and that community policing and one of the threats that many people worry about in their everyday security is how safe they are on the streets and in particular how safe their children are on the streets.
946083	948325	Far too many parents have
948305	958996	had that horrendous call of a young person being stabbed, being another victim of knife crime, and something which in Scotland has worked really, really well.
959396	975612	It started in Glasgow 15 years ago, the Violence Reduction Unit, the police working with public services, with the NHS, with social care, social work, to provide a holistic approach to tackling violence, a public health approach,
975592	982308	It has seen the stabbing rate reduced by two thirds nearly in Glasgow and that is something that we should replicate elsewhere.
982570	983796	Thank you, Adam Bright.
985092	987475	Yeah, I mean, it's difficult to find the words.
987576	994866	I can't imagine what the families and the loved ones, those that lost their lives, are going through.
995667	998731	And, you know, I extend my condolences to them.
999232	1000334	It's an area...
1000354	1001696	I live around the corner from Tooley Street.
1001756	1002877	It's an area I know very well.
1003278	1006122	And, you know...
1006642	1008165	What can we do?
1010048	1015577	Clearly, there has to be a multiplicity of answers, because no one answer will keep us safe.
1017400	1022709	Absolutely, it is the case that I think resources are always part of the answer.
1023390	1029240	In Wales, in contrast to Scotland, we've seen a 9% reduction in police officers.
1029592	1032576	between 2010 and 2018, we need to reverse that.
1032596	1036422	We're calling for 1,600 additional police officers.
1037023	1040228	A preventative approach, absolutely.
1040248	1046757	It is true, as I think it was the father of Damilola Taylor was saying, knife crime and violence has become normalised
1046737	1051184	in our society, in the sense that we are almost desensitised to it now.
1051204	1053727	And that says something, doesn't it, about where we are.
1054048	1067869	And a preventative approach absolutely, ultimately, is the way to address this, because crime, criminality, radicalisation in the case of terrorism, it has multiple roots, and we have to address them at all of those levels.
1067889	1068750	Thank you, Adam Price.
1068790	1070753	Caroline Lucas and then Richard Tice.
1071273	1077655	My thoughts are obviously very much with those who were injured, the family and friends of those who were killed.
1077955	1087307	And as others have said, really, it's impossible to imagine the pain that people are going through right now, particularly London Bridge, a place that was already hit once before as well.
1088269	1106072	I think we've seen the best of human nature and the worst of human nature, as quite often has happened before, in the sense that, you know, we've seen the bravery of the public, the bravery of our emergency services at the same time as we've seen the utter criminality and hatred of whoever perpetrated this particular attack.
1106474	1122074	We don't know much about it yet, but I think as political leaders, we all have a responsibility to ensure that incidents like this don't divide us, that I hope we can come together and show real leadership and promote the compassion and love that is more powerful ultimately than hatred.
1122114	1131707	But on terms of what we should do, Terry talked about the police and he's right that any number of police can't prevent this from happening, but more police numbers would certainly help.
1132027	1136413	I think we need to look again at the PREVENT program because I think we need to make sure that it is
1136393	1147833	enjoying as much confidence as every single community in our country as it can, and I'm not sure right now that it is, and I do believe that staying inside the EU would be a better way of ensuring that we have that security information.
1147873	1150598	Lots of issues I promise you that we will get the chance to address.
1150618	1154605	But finally on this question, and before we move on to our next one, Richard Tice.
1154585	1156107	Some great words have been said.
1156127	1160574	I mean, utterly, utterly heartbreaking is how all of us must feel.
1160634	1171810	It is impossible to imagine, if you receive that phone call, that a loved one, a daughter, a son, a father has been murdered in a terrorist incident.
1172030	1173833	Utterly impossible to imagine.
1174433	1181183	But we do also have to just recognise the extraordinary bravery, as people have said, of members of the public,
1181163	1188617	And I think that does also remind us that all of us, in our daily lives, we have to remain incredibly vigilant.
1188717	1194028	Because yes, we must keep investing in more police and more technology.
1194448	1201602	But however many police we have, and we need as many of those police as possible on the streets,
1201666	1205832	everywhere, in our towns, villages and cities, making us feel safer.
1206273	1211000	The more police on the streets, the safer we feel, but we must remain vigilant.
1211340	1212402	Thank you very much indeed.
1212462	1215867	Now, that won't be the pattern for all our questions tonight.
1215887	1221195	The whole point of this is a debate, a lively debate, an exchange of views between the politicians.
1221656	1223218	I'll ask one or two people to
1223198	1229416	start on any question and then give them the opportunity to open up, but I'll make sure that everybody gets to have their say on every question.
1229436	1233608	Let's move on to our next question, a vital subject, the subject of the economy.
1234009	1236517	Peter Warren from Reading has a question.
1236537	1237680	Peter Warren.
1237964	1248127	With all the parties promising to spend more money during the campaign, what guarantees can you give that these spending plans will be delivered when you get into government?
1248228	1252658	What guarantees can you give that your spending plans will be delivered?
1252678	1253560	Rebecca Long-Bailey.
1254130	1268600	Well I think we need to look at the reasons as to why we've set up such a radical and transformative manifesto and what I'd say in a nutshell is that our plans deliver a more regionally equal, healthier, better educated, higher investment, higher productivity economy.
1269061	1270063	Essentially,
1270043	1272147	We want to work for the betterment of the people.
1272187	1279742	And the role of the economy is to work to make people's lives better, to increase businesses, to make sure that we are making those investments.
1280102	1282647	Well, there's also a very human element to all of this.
1282807	1286915	We've got 4.4 million people on waiting lists who can't get operations.
1287256	1290743	We've got 8 million people living in poverty in working households.
1290763	1293047	So we know the economy isn't working.
1293027	1294369	So, there were two strands.
1294489	1315297	We need to invest, and we've set out a green industrial revolution, a green transformation fund of £250 billion, a social transformation fund to invest in our public realm and the building capacity of our NHS, our schools and our public services, but also to provide businesses with the support that they need to invest for the long term.
1315317	1317600	Rebecca Long-Bailey, just a reminder of the question.
1317580	1319725	The question not so much, what are your spending plans?
1319785	1324717	The question, what guarantees can you give that your spending plans will be delivered?
1325138	1326782	If you come in and then I'm going to go to Rishi.
1326802	1334982	Well, I think we've probably outlined the most detailed manifesto of all the parties with a grey book sitting alongside it detailing our costs.
1334962	1339010	our tax receipts and how we'll fund those proposals going forward.
1339091	1343841	For example, in my brief, I'm transforming our economy through a green industrial revolution.
1344201	1350815	We have a report, 30 by 2030, actions that we will take as a Labour government that go into extreme detail.
1350936	1353561	Let's come now though to Rishi Sunak for the Conservatives.
1353743	1358329	When we came into office, Labour had left this country on the brink of bankruptcy.
1358710	1361974	But because of the actions we took, the economy is now stronger.
1362475	1364297	Millions more people are in work.
1364678	1365839	Wages are rising.
1366160	1370946	And we're able to invest again in public services like the NHS, schools and police.
1371387	1376494	Get on with our plans to make Britain the best place to raise a family, to start a business.
1376474	1384850	And I can give you this commitment that under the Conservatives, under our fully costed plans, the national debt at the end of the Parliament will be lower.
