start	end	text
31	12189	In nine days' time, one of the two men standing here will be Prime Minister.
12390	14252	Tonight, they go head-to-head.
14473	24688	Welcome to the BBC Prime Ministerial Debate.
48867	50429	Good evening.
50449	55176	Welcome to Nottingham and to Nottingham Trent University, our venue for this debate.
55596	65450	With the general election just over a week away tonight, Rishi Sunak and Keir Starmer are about to spend the next hour and a quarter answering voters' questions.
65830	68113	They are the two contenders for Prime Minister.
68394	73761	Their positions on this debate stage have been decided by the toss of a coin.
73741	76347	They do not know what the questions will be.
76628	84226	Those will be coming primarily from our live audience here at the University, who have been chosen by the pollsters, Savanta.
84466	91142	They include supporters of the Conservatives and of Labour, as well as some undecided voters.
91122	97009	And we will also have questions submitted through the BBC's Your Voice, Your Vote website.
97390	113029	After 75 minutes of debate, we will have analysis from our Spin Room, which is also here on the Nottingham Trent campus, and that is where Laura Koonsberg and Clive Myrie will be talking to other politicians and also to fellow journalists.
113009	118261	And so, to the leaders, Rishi Sunak and Keir Starmer, welcome to you both.
118382	122792	It's very good that you're taking part in this with just over a week to polling day.
122852	123894	Welcome.
124295	124496	Thank you.
124516	129347	Let us begin straight away with our first question, and it is from Sue Barclay.
132128	137194	People are dismayed by the lack of integrity and honesty in politics today.
138275	144563	After the recent allegations about political betting, how would you restore trust in politics?
146085	148568	Thank you very much, Sue, for kicking us off.
148588	153113	Now, both of your parties have faced allegations in this regard in recent days.
153153	156757	We know of five Conservatives being investigated and one Labour.
157238	158119	Rishi Sunak.
158437	160860	Well, Sue, I completely share your anger.
160901	165327	I was as frustrated as you are furious when I learnt about these allegations.
165787	175581	That's why, alongside the Gambling Commission, we initiated our own internal inquiries into what had happened and, as a result of that, have suspended two candidates.
175682	177003	And I've been crystal clear.
177344	185415	Anyone who has broken the law, broken the rules, should not only face the full consequences of the law, I will ensure that they're booted out of the Conservative Party.
185856	186537	Keir Starmer?
186517	193945	Sue, thank you very much for your question, which I think is on a lot of people's minds, this question of respect and integrity in politics.
194325	196928	And you have to lead from the front on issues like this.
197188	205337	I think over the last 14 years, politics has become too much about self-entitlement and MPs thinking about what they can get for themselves.
205977	216068	And one of the important choices, and the thing that I would like to do if I'm elected Prime Minister, is to reset politics so that politics returns to public service.
216048	227587	In relation to these gambling allegations, the instinct of these people to think the first thing they should do is try to make money was the wrong instinct and we have to change that.
227627	235381	But it is also a question of leadership because this isn't just, you know, what's happened this week, last week in the Gambling Commission.
235401	238265	We saw Partygate earlier in this Parliament.
238285	239828	The Prime Minister himself
239808	245778	was convicted and fined for breaking the rules which he brought in and imposed on everybody else.
245798	250987	And of course, we've seen what happened with the COVID contracts and the huge amounts of money that were made.
251227	252189	This takes leadership.
252389	263368	What I did when one of my team was alleged to have been involved and investigated by the Gambling Commission, they were suspended within minutes because I knew it made it really important to be swift.
263348	270348	the Prime Minister delayed and delayed and delayed until eventually he was a bullied into taking action.
270368	276003	Let me get a response, let me get a response Keir Starmer to those accusations.
276064	278370	Well it was important to me that
278350	283495	given the seriousness and the sensitivity of the matters at hand, that they were dealt with properly.
283876	284597	And that's what I've done.
284917	294567	We had an independent internal inquiry into what happened, have taken action and suspended the candidates involved, and I've been crystal clear that they should face the full consequences of the law.
294587	297130	But Keir Starmer talks about leadership in politics.
297150	298431	That's what Sue's question was about.
298491	300493	It was a broad question about how to do that.
300894	304037	I also think leadership means being straight with people.
304220	312558	It means having the courage of your convictions, not changing your mind on every single position that you've taken, and being upfront about what you want to do for the country.
312819	314463	That's not what Keir Starmer is doing.
314703	317970	He's not being honest with everyone about his plans to raise their taxes.
318091	320035	I think that will erode trust in politics.
320015	320876	And that's the choice at this election.
320916	328268	Let's just stick to the heart of the question, first of all, because it was sparked by the recent allegations about political betting, and Sue asked how you would restore trust in politics.
328288	335560	So if you've acted now to withdraw support from those two Conservative candidates, what did you find in that investigation?
335540	342508	Well, Bashar, you know there's an independent investigation which is ongoing, which is why I can't say anything further about that.
342588	343429	You will understand that.
343449	344470	Yeah, but we knew about that one a while ago.
344490	351097	But when we had our internal inquiries, when we found things that were not appropriate, I took action and suspended the candidates.
351117	351978	I've been crystal clear.
352339	354261	I was furious to hear about these things.
354401	355342	That's why I've dealt with it.
355682	360788	But the choice of this election is about, as Sue said, it's about leadership, it's about integrity in politics.
360768	362551	And that's a question about doing what you say.
363432	369001	Keir Starmer's made this broader point, but the point is he's changed his mind on every major position that he's taken.
369322	376313	He doesn't have the courage of his convictions and is not being straight with everybody now about his plans if he wins power to raise people's taxes.
376514	380921	That's not going to do anything to restore trust in politics, and that's a choice for everyone at this election.
381181	387231	Continue tax cuts with the Conservatives or Keir Starmer's tax rises, which he is not being straight with everyone about.
387211	396333	Again, to return to the question, Keir Starmer, the Labour candidate from whom you've withdrawn support appears to have betted on losing his own election.
396895	400343	Do you know if any other candidate has placed similar bets in this campaign?
400424	407381	Well, he was, as you say, investigated by the gambling commission because he bets on himself to lose.
407762	411631	As soon as the commission said they were investigating, I suspended him.
412393	417204	And I've made very clear to my candidates that I expect high standards in politics.
417565	418888	I said last week
418868	421054	that the Prime Minister should have taken decisive action.
421255	429538	And I said last week, should one of my candidates be investigated by the Commission, then they would be suspended and their feet wouldn't leave the floor.
429859	430761	And that's what I did.
430862	433890	And so my candidates know I expect the highest standards.
433870	437595	and that I'll take decisive action if they fall below those standards.
437615	438276	But do you know that...
438296	438897	I am... Back to Sue's point.
438917	439318	Do you know...
439498	443724	I'm absolutely determined... OK. ..to return politics to public service.
443804	446889	Do you know that none of your other candidates have placed similar bets?
446909	448611	That integrity in public service is so important for our country.
448632	451035	Do you know that none of your other candidates have placed similar bets?
451218	460366	Well, I've made clear to my candidates what the standards are, and they've seen by my actions what the consequences are if they fall short of those standards.
460386	462588	But the Prime Minister hides behind a process.
462949	466412	He could have taken decisive action last week, even the week before.
466672	470355	But he eventually got round to it when he was bullied by other people into doing it.
470515	471556	That's not leadership.
471756	473058	And he talks about integrity.
473218	481225	I'm sorry, when you get convicted for breaking the COVID rules, which you imposed on the rest of the country, you really shouldn't be talking about integrity.
481205	482587	and politics.
482907	486052	Well, leadership means being straight with people about what you plan to do.
487033	493221	I've set out my plans clearly, and I appreciate, actually, that not everyone's going to agree with me on everything, but at least you know where I stand.
493742	497507	Now, Keir Starmer is not being straight with you about his plans to raise your taxes.
497868	499029	I don't think that's leadership.
499269	504777	I don't think that people should surrender their family finances to the Labour Party, and that's the choice for people at this election.
504837	510064	Well, let me just address that, if I may, because we have set out in our manifesto all of our plans.
510044	519222	They're fully funded, they're fully costed and we've set out that we will not be increasing income tax, national insurance or VAT.
519763	532187	What the Prime Minister is doing, he's got a manifesto that's got promises to you and everybody watching which are unfunded because his Chancellor has said that the money he's relying on has already been spent.
532167	535013	Now, that is the mistake that Liz Truss made.
535534	546015	That's what cost so many people so much across this country, and now we've got to repeat unfunded commitments, lots of promises, promises, promises, promises, but where's the money coming from?
546055	550364	The Chancellor himself has said the money was spent last year, it isn't available.
550585	553230	That's a... And if there's five more years of this... OK.
553210	561360	We're going to have the same as we've got now, a cost of living crisis bearing down on people across this country, really struggling because the economy is broken.
561400	568048	And this is the chance at this election to turn the page and start to rebuild our country with a stable economy.
568489	579522	OK. Misha, just to build on it, what the Chancellor did this morning was ask his opposite number, Keir Starmer's shadow Chancellor, to rule out raising all your taxes beyond what they've already announced in the first budget.
579502	581686	and the Shadow Chancellor wasn't able to do that today.
581987	584532	That's what the Chancellor did today, but you don't have to listen to me.
585133	598641	Just go online, go to the Telegraph website, because we've just found a recording that they have put out there from the Deputy Chancellor from the Labour Party admitting that their plans will cost hundreds of billions of pounds.
598621	601625	I'm just going to explain something to anyone who hasn't seen this today.
601645	604288	That is going to cost all of you thousands of pounds of tax rises.
604368	607652	That's why I say Keir Starmer and the Labour Party are not being straight with you.
607932	610035	So do not surrender to their tax rises.
610095	611296	Let me just explain.
611336	623110	This is a reference to Darren Jones, the Shadow Chief Secretary to the Treasury, one of your senior Treasury team, who in a recording given to the Daily Telegraph has said decarbonising the British economy will cost hundreds of billions of pounds.
623090	635162	We've set out in our manifesto what we want to do to go to renewable energy, and we've set out how much that will cost, exactly how much is going to be put in, and we've got a column saying how that's going to be funded.
635702	648895	Yes, it is absolutely right that we want to get in investors to come alongside that government money, and we've been talking, you won't be surprised to learn this, to global investors for the best part of two years.
648875	660365	to say that if we put down this money set out in our manifesto, will you come alongside it and put down many more billions of pounds so that in partnership with the government we can make the change that we need?
661006	661787	Hang on, hang on.
661907	663068	Let me just finish this.
663188	665630	I'm sure we're going to come back to the same thing later on.
666251	667812	This is your own shadow Chancellor.
667872	670755	If you don't mind, I'm going to get to the next question.
670775	672176	Just be straight with the people.
672636	673737	How many hundreds is it?
673757	674598	Is it 200?
674638	675879	Is it 300?
675979	676660	Is it 400?
676720	678882	I think the Prime Minister must have put a bet on how many times
678862	680604	going to interrupt me.
680624	685471	I do want to turn to the next question because lots of people are waiting and they've got important questions that they would like answers to.
685851	695584	If you can hear any noises off, ladies and gentlemen or anyone at home, there is a protest taking place outside which is also an aspect of our democracy and people exercising their freedom of speech.
695604	697887	Our next question here comes from Mary Armstrong.
699289	700110	Evening.
700816	705083	I've worked two jobs since I was 18, and I'm now 60.
705123	713517	And I think too many people don't understand how important and better it is for you to be working hard.
714278	717624	I also think too many people are on out-of-work benefits.
718245	726098	My question is, what are you going to do to help more people to come off benefits and back into work?
726078	728222	Mary, thank you very much for that.
728342	732831	Keir Starmer, what are you going to do to get more people off work, off benefits and into work?
732951	741808	Yeah, can I first agree with you that work is, of course, about pay and being able to pay your own way and, you know, support your family.
741788	745233	But it is also about dignity and respect.
745353	747576	And my dad worked in a factory all his life.
747596	748537	He was a toolmaker.
748977	754685	And having a secure job for him was really important to his respect and integrity.
754725	759191	In relation to those that are out of work, my rule is this.
759291	760753	If you can work, you should work.
761233	766320	And we've got a plan to get people into work, working with businesses to support people in.
766601	769264	I think we need to change the job centre.
769244	777078	and the career service, because at the moment, when I ask businesses, if you have a vacancy, are you going to the job centre to get that vacancy filled?
777098	778982	They say they're not, so we need to do that.
