start	end	text
754462	755343	Good evening.
755363	756304	I'm Julie Etchingham.
756525	762272	Here in the studio tonight are seven party leaders with different visions for the future of our country.
762472	767458	Over the next two hours, they'll debate head-to-head in front of our studio audience here tonight.
767879	773346	And tonight will be about some of the biggest issues facing Britain, questions at the heart of this election.
773907	778833	The main parties in England, Scotland and Wales are all represented here this evening.
779353	780655	The leaders are...
780635	782577	Natalie Bennett of the Green Party.
783298	785121	Nick Clegg, Liberal Democrats.
786082	788805	Nigel Farage of the UK Independence Party.
789726	791208	Ed Miliband, Labour.
792049	794873	Leanne Wood of Plaid Cymru, the Party of Wales.
795834	798157	Nicola Sturgeon of the Scottish National Party.
799098	801681	And David Cameron for the Conservatives.
809609	815898	Well, our questions are going to focus on some of the big political issues that we all care about and that affect everyday life.
815958	820184	You can get instant analysis of the debate online by going to our website.
820364	824509	And if you want to comment, the Twitter hashtag is Leaders Debate.
824930	833562	The leaders' positions in the studio and the order in which they make their opening and closing statements, as well as answer questions, has been decided by drawing lots.
834343	837287	First, Natalie Bennett, your opening statement.
838600	846053	You were told that austerity and inequality, bankers bonuses and tuition fees were inevitable.
846935	848377	They were not.
849719	851182	You all deserve better.
852344	855009	Let's put principles and values first.
855790	858094	That's why I got into politics.
859087	868559	The Green Party is determined to deliver a fair economy that does not make the poor and disadvantaged pay for the errors and fraud of the bankers.
869680	877650	We're committed to returning the NHS to its founding principles, no public money going into private profits.
879032	885600	We know we must take real action on climate change, the biggest threat facing us all.
886576	893230	Other parties trade in fear, fear of immigrants, demonising people on benefits.
894032	898862	But to build a decent, humane society, we start with hope.
899663	900485	Vote for change.
900886	902389	Vote Green.
902409	903672	Natalie Bennett, thank you.
904193	906137	And now we go to Nigel Farage.
906657	908661	There are six other party leaders on this platform tonight.
908681	913450	They may all look different, but actually on some of the big issues that affect this country, they're very much the same.
913811	919141	All six of them support Britain's membership of the European Union and most of our laws being made somewhere else.
919602	923710	And as a consequence of that, all of them support open door immigration.
924151	929121	Is it any wonder that trust in politics has broken down to the extent that it has?
929101	934192	Well, I represent UKIP and we believe in Britain and we believe this country should be a self-governing nation.
934272	936116	We believe we're good enough to do that.
936677	948763	And we also believe that open-door immigration has depressed the wages for ordinary people, made buying houses for youngsters very difficult, made it tough to get a GP appointment and not been good for this country.
948743	950066	We have a positive alternative.
950387	951730	Let's have a trade deal with Europe.
951971	954476	Let's cooperate with them as friends, but make our own laws.
954837	963718	And let's take back control of our borders and put in place an Australian-style points system so we can choose the quantity and quality of who comes to Britain.
964019	967647	By doing that, we'll give ordinary working people an even break.
968690	969191	Nick Clegg.
969752	973657	I think it's pretty obvious that no-one standing here is going to win this election outright.
973978	978124	So you're going to have to choose, like you did last time, who's going to have to work with whom.
978785	984573	Now, look, I'm not going to pretend that everything's perfect, though the country is in a lot better shape now than it was five years ago.
984593	986676	I'm not even going to pretend that I haven't made mistakes.
986856	990782	I have, I've put my hands up when I have, and I've learned from them.
990762	995951	But what you will get from me and from the Liberal Democrats is this.
996652	1002422	The grit and the resilience to finish the job of balancing the books and doing so fairly.
1002963	1005007	I will always act responsibly.
1005267	1007050	I'll never let anyone else
1007030	1011878	Borrow money that we don't have and jeopardise your risks, your jobs and our economy.
1012239	1015144	And above all, I will always act fairly.
1015424	1020212	I won't let anyone else impose ideological cuts on your hospitals and your schools.
1020573	1028266	And I will always serve the whole of our country, not just parts of our country, the whole of our wonderful United Kingdom.
1029688	1030810	Nicola Sturgeon.
1030891	1035523	This election is a chance to change the Westminster system so that it serves you better.
1036124	1039192	The SNP will always stand up for Scotland's best interests.
1039252	1041338	We will make Scotland's voice heard.
1041739	1047313	But I know that it's not just people in Scotland who feel let down by Westminster politics.
1047293	1053301	That's why my message to people watching in England, Wales and Northern Ireland is one of friendship.
1053662	1056605	I won't pretend I don't want Scotland to be independent.
1056966	1057286	I do.
1057687	1067140	But as long as Scotland remains part of the Westminster system, the SNP will seek to work with others of like mind across the UK to deliver positive change.
1067520	1071225	Like many of you, we want an alternative to the pain of austerity.
1071205	1076313	an end to the bedroom tax, a halt to the privatisation of the NHS.
1076693	1083844	And we believe the scarce resources of our country should be invested in the future of our children, not in new nuclear weapons.
1084224	1093778	A vote for the SNP is a vote to make Scotland's voice heard, but ours will also be a voice for new, better and progressive politics at Westminster for all of us.
1095180	1096302	David Cameron.
1096687	1099373	Five years ago, this country was on the brink.
1099734	1102019	We had millions of people unemployed.
1102520	1105847	And we had one of the biggest budget deficits anywhere in the world.
1106509	1111620	For the last five years, we've been working with the British people through a long-term economic plan.
1111921	1113083	And that plan is working.
1113524	1116130	There are almost two million more people in work.
1116110	1121544	It's a balanced plan, so we've invested in our NHS as well as reducing the deficit.
1121905	1124471	And we've cut taxes for 30 million working people.
1124953	1131790	And the plan's working because last year we had the fastest growing economy of any of the major Western countries.
1132462	1135890	Now tonight you're going to hear a lot of people claiming a lot of things.
1136551	1148378	But please remember these are the same people who claimed that if we followed our plan, unemployment would go up, that the deficit wouldn't come down, the economy wouldn't grow, that public services would be destroyed.
1148358	1150382	They were wrong then and they're wrong now.
1150423	1159422	The choice at this election is sticking with a plan that's working or going back to the debt, taxes, borrowing and spending that got us in this mess in the first place.
1159863	1161868	I say let's not go back to square one.
1162249	1163992	Britain can do so much better than that.
1165396	1166097	Leanne Wood.
1167410	1171195	I'm speaking to everyone back home in Wales tonight.
1171716	1180168	I'm from the Rhondda and I understand all too well the difficulties that have been faced by our communities in recent years.
1180929	1188540	You tell me that jobs and services have been cut to the bone and that they can be cut no more.
1188520	1191087	Plaid Cymru offers an alternative.
1191568	1198969	We offer hope for a decent future for our young people, for thriving, successful communities.
1199438	1207065	In a hung Parliament, Plaid Cymru can win for Wales, but we can only do that with your support.
1207846	1216775	I'm asking you to support Plaid Cymru, the Party of Wales, to make our communities in Wales as strong as they can be.
1217676	1223501	Please support Plaid Cymru to make Plaid Cymru Wales's voice in Westminster.
1225123	1226104	Ed Miliband.
1226489	1227190	Here's what I believe.
1228132	1230115	Britain succeeds when working people succeed.
1231036	1233040	But that's not the way it's been over the last five years.
1233861	1236626	For five years, wages haven't kept up with bills.
1237447	1239771	For five years, the NHS has been going backwards.
1240452	1245460	For five years, our young people have been fearing they'll have a worse life than their parents.
1246368	1247570	It doesn't have to be this way.
1248411	1257682	If I'm Prime Minister, I'll raise the minimum wage to £8 an hour and ban exploitative zero-hours contracts, so we reward hard work again in our country.
1258243	1262388	If I'm Prime Minister, I'll rescue our NHS, hiring more doctors and nurses.
1263049	1273843	If I'm Prime Minister, I'll build a future for all of our young people, saying to our young people, if you get the grades, you get an apprenticeship, and cutting the tuition fee from £9,000 to £6,000.
1273823	1276970	and will cut the deficit every year and balance the books.
1277993	1281541	Some people will tell you tonight this is as good as it gets for Britain.
1282444	1286854	I say Britain can do so much better than it's done over the last five years.
1288471	1291777	Party leaders, thank you very much indeed for your opening statements tonight.
1292799	1294603	And the format for tonight is simple.
1294683	1297288	Our audience will put their questions directly to the leaders.
1297528	1302438	Each will then have one minute to answer before we open things up for a free-flowing debate.
1302818	1305864	And our first question tonight comes from Johnny Tudor.
1307527	1311475	As a 17-year-old student of politics, I would like to ask,
1311708	1323304	How do each of the party leaders believe they'll be able to keep their promises of eliminating the deficit without raising certain taxes or making vast cuts to vital public services?
1324263	1325645	Jonny, thank you very much indeed.
1325746	1326146	Nick Clegg.
