start	end	text
3676	11164	Good evening, and welcome to Senate House at the University of Cambridge for 90 minutes of question, answer, and live debate.
11544	14768	We invited the leaders of seven parties to take part.
15048	15849	Some are here.
16289	18572	Others chose to send senior representatives.
19052	32907	Those here are Tim Farron, leader of the Liberal Democrats, the leader of the Labour Party, Jeremy Corbyn, Caroline Lucas, co-leader of the Green Party, the leader of Plaid Cymru, Leanne Wood,
33173	35882	For the Conservatives, the Home Secretary, Amber Rudd.
36986	38732	Paul Nuttall, the leader of UKIP.
39756	42846	And Angus Robertson, the deputy leader of the SNP.
51601	58610	Our audience was selected by a leading opinion polling company to ensure that they are representative of the country as a whole.
59010	60332	They support different parties.
60853	66940	Some are undecided voters and they are also equally split along the lines of last year's EU referendum.
67321	70104	Half voted to leave the EU and half to remain.
70144	77153	And if you'd like to join in the debate at home, you can do so on Twitter using the hashtag BBC debate.
78061	84802	We begin with opening statements from all seven politicians, the order of which was decided by the drawing of lots.
85244	88594	First, it's the leader of Plaid Cymru, Leanne Wood.
92928	97015	Theresa May called this election because she's taking you for granted.
97756	103547	She won't turn up to these debates because her campaign of soundbites is falling apart.
104288	111240	Unlike Theresa May, I'm not afraid to defend my policies, my principles, my values.
111220	115027	Plaid Cymru exists to defend and build up our country.
115708	123361	In Wales it is Plaid Cymru that stands for fairness and equality and everyone who chooses to call Wales home.
124062	126526	For a hundred years Wales has voted Labour.
126546	129752	It hasn't stopped Tory rule.
129732	135637	Labour in Wales have their own manifesto and they're airbrushing their leader out of their campaign.
136558	143244	When Plaid Cymru has tried to ban zero hours contracts and to stop the bedroom tax, Welsh Labour voted against us.
143865	146667	It's time we stop doing what we've always done.
147308	149590	Let's instead give Wales a voice.
150291	152472	Give Plaid Cymru a mandate.
152853	159739	Elect a strong team of Plaid Cymru MPs to fight for a successful future for Wales.
159837	163240	And our next opening statement is from Caroline Lucas of the Green Party.
164362	168986	On June the 8th, you can lay the foundations for a new kind of politics.
169747	171829	Your vote can change everything.
172750	179396	Imagine this, a country that leads the world in clean energy, not fracks its way to climate chaos.
180217	185963	A country that spends its money on hospitals and schools, not nuclear bombs.
185943	189958	A country that welcomes child refugees, not blocks them at the border.
190801	194856	A country that's open to its neighbours, not isolated from them.
195072	197877	A country that celebrates diversity, not fears it.
198678	204387	A country that's friends with the good guys, not the climate criminals and the dodgy dictators.
205269	209556	A country that cares for those with dementia, not one that taxes them.
210337	216207	We've shown time and again, you don't need the keys to number 10 to open the door to change.
217008	220354	On June the 8th, let's unlock that door together.
220334	223358	Fearless Green MPs in opposition to the Tories.
223939	227344	Independent Green MPs holding Labour's feet to the fire.
228045	232070	Pioneering Green MPs to make our economy fit for tomorrow.
233071	235354	We decide the future by what we do now.
236035	239160	Vote Green on June 8th.
239180	243085	And the next of our opening statements is for the Conservatives from Amber Rudd.
244043	249750	In eight days, you have a vital choice to make about who you want to lead the country.
250491	252293	Do you want Theresa May and her team?
253074	262986	A team that has a plan, and it's one that doesn't duck the hard choices about living within our means, but is also a plan that will build on the success we have delivered.
263426	270034	Success in cutting the deficit, stabilising the economy, getting more people into employment.
270014	273638	It will build on our commitment to having a country that works for everyone.
274699	282486	Now, there are seven of us here tonight, and I'm sure you will hear plenty of bluff, bravado, and tempty, shiny election promises.
283727	289954	But the only question to consider is who should be in number 10 to steer Britain to a brighter future.
290634	296460	Jeremy Corbyn, with his money tree wish list manifesto and no plan for Brexit,
296795	307656	or Theresa May and her record of delivery with her clear plan for Brexit and the strong team behind her who can make sure the country gets to that brighter future.
309119	311023	And next, it's Jeremy Corbyn.
311780	315446	Tonight I am here to debate the future of our country.
316108	320635	The question in this election is whether we want a country for the many or just a few.
320696	331915	The state of our NHS, our children's schools, social care for older people, our young people saddled with debt, none of that is remotely strong or stable.
331895	339787	And now the Conservatives want five more years of cuts to our vital public services to fund tax handouts for the wealthy few.
340267	342511	Labour will make very different choices.
342811	346336	There will be no tax rises for 95% of taxpayers.
346637	354088	But we will ask those with the most to contribute a bit more so no one is held back from achieving their potential.
354068	356174	On June the 8th, you have a choice.
356194	363555	More cuts in services and living standards with the Conservatives or vote Labour to transform Britain for the many, not the few.
364295	366438	And now the UKIP leader, Paul Nuttall.
366839	382904	UKIP will always put the interests of British people first, whether that is prioritising our NHS and social care over a bloated and ineffective foreign aid programme, or protecting those who are most at risk from wage compression because of unskilled mass immigration.
383425	390336	UKIP will always stand up for those who have been let down and left behind by the Westminster elites.
390316	394600	A government's job, first and foremost, is to protect the public.
395141	404770	Our police, our intelligence services, our armed forces and our border force must be given the tools and the resources they need to do their jobs effectively.
405331	406572	But money isn't everything.
406592	409375	Politicians must show leadership.
409835	417403	They must, without fear or favour, ensure that our way of life, our values and our democracy is secure.
417383	418807	I believe in our great country.
419329	420652	I believe in British values.
421074	422297	I believe in our way of life.
422658	426930	And as you will see tonight, UKIP believes in Britain.
426950	429317	The SNP opening statement from Angus Robertson.
429652	430073	Good evening.
430754	433418	This election is about the kind of country we want to be.
433959	438607	Now, more than ever, Scotland needs strong SNP voices at Westminster.
439188	444116	And SNP MPs will work with others to promote fairness across all of the UK.
444817	448183	A vote for the SNP is a vote against Tory cuts.
448163	453055	that will harm our public services and push many more hard-working families into poverty.
453837	459872	It's a vote for jobs and against an extreme Brexit, which will put jobs and living standards at risk.
460674	465987	It's a vote to reinforce the right of the people of Scotland to decide their own future.
465967	471575	We can't afford a Tory government which thinks it can do anything it likes without being held to account.
472276	477844	And we can't give Theresa May a blank cheque to pursue any kind of Brexit, no matter the cost.
478725	483031	In Scotland, the SNP is the only party strong enough to stand up to the Tories.
483752	486997	So vote SNP for a strong voice for Scotland at Westminster.
487578	490041	That voice is needed now more than ever.
491163	495028	And for our final opening statement, the leader of the Liberal Democrats, Tim Farron.
496308	497932	Where do you think Theresa May is tonight?
498493	499535	Take a look out your window.
499936	502722	She might be out there sizing up your house to pay for your social care.
503685	506150	And why do you think she called this election?
506170	512865	She wants five years as prime minister, and she thinks you'll give it to her, no questions asked, literally.
512845	519315	even if she brings in a dementia tax, sacks your kids' teachers and nicks their lunches while she's at it.
519756	522460	We can all agree that is a rubbish offer.
522741	529973	Look, I know we don't all agree on Brexit, but she's off to negotiate a deal for you, for me, for all of us.
530554	532356	Imagine if it's a bad deal.
532797	534460	I mean, dementia tax bad.
535121	537705	I know that to persuade you to vote Liberal Democrat
537685	540208	I have to give you some really good reasons.
540428	541029	So here's three.
541529	546054	One, I'll rescue the NHS and social care by putting a penny on income tax.
546415	550559	Two, I'll give you the final say on the Brexit deal, not Theresa May.
550880	556486	Three, whatever power you give me, I'll use it to stop her taking you for granted.
556546	559930	Thank you all for those opening statements.
569545	573691	Let's go straight to our first question, and it comes from Nicola Collins.
574732	575574	I work.
575594	576735	I pay my taxes.
577156	578878	I haven't had a pay rise in years.
579459	581923	I live alone and see all my bills going up.
582604	585288	Working people are the backbone of this country.
585728	587991	How are you going to help people like me?
589273	591216	Thank you, Nicola.
591652	594978	Amber Rudd, your party's presided over this squeeze in living standards.
595559	597703	Well, thank you Nicola for the question.
598365	605939	My party has presided over making sure that people on lower wages are able to keep more of the wages they earn.
605959	607862	We must take it within context.
608303	614655	Since 2009 we had, up from the run to 2009, we had one of the largest peacetime recessions.
614635	617399	and we've managed to rebuild the economy since then.
617920	633224	But my party is focused on making sure that we help people like Nicola, which is why we're going to continue to take people out of taxes, making sure that the amount you can earn before you have to pay tax rises to £12,500 and we're going to live within our means.
633244	637470	Some of the offers you will hear tonight are just fanciful.
637450	643281	In order to have a strong economy, to support Nicola and others, we need to make sure we have that strong economy.
643601	650414	And the way to make sure that we have it is to have a strong negotiating position as we go into leaving the European Union.
650574	658048	You're going to hear me say that a lot tonight because the worst outcome would be if we're not able to negotiate a strong deal with the European Union.
658068	659651	The question is on living standards.
659771	660673	Jeremy Corbyn.
661143	669777	Living standards have fallen in the past seven years under the coalition government with the Liberal Democrats and the Tories and now under the Tory government itself.
670298	673063	Six million people are earning less than the living wage.
673403	675587	A million are on zero-hours contracts.
675607	681196	Public sector workers have had a pay cut of at least 14% over the past seven years.
681557	683961	We will lift the pay cap on the public sector.
684201	687066	We will introduce a living wage of £10 an hour
687046	695475	by 2020 and we won't punish workers who want to take their rights to a tribunal where they have to pay charges and fees.
695735	696636	We will abolish that.
697117	702883	Our determination is that those who produce the wealth of this country should benefit from the wealth of this country.
703103	708248	What we've seen is a massive gap growing between those at work and those at the top.
708268	713154	It's times 186 between those on the shop floor and those in the boardroom.
713174	715416	That has to change and we will ensure it does.
715683	718447	Angus Robertson, how would you help working people like Nicola?
719128	724236	Well, the first thing I would say is that governments have choices about the kind of economic policy they pursue.
724336	735333	And the Tories now alone in government and previously working with the Liberal Democrats introduced austerity measures which are hitting those in society with the lowest incomes the most.
736054	739800	And frankly, I think the time has come for that to end.
739780	742184	And politicians can make different choices.
742765	749074	And every SNP MP elected to Westminster will stand up for those different choices and an end to austerity.
750156	751097	It is about choices.
751598	755204	The Tories have chosen to support those who are wealthiest in society.
755724	756466	We don't agree with them.
756966	759510	We think those who have the most should pay a little bit more.
759951	766581	And that's why we're in favour of the highest earners seeing their taxes rising from 45 to 50p.
766730	773976	We're also incidentally, also supportive of looking at changes to the pay restraint that we've seen through these times of austerity.
774357	776999	That's going to happen in Scotland under an SNP government.
777399	780782	We will press the UK government to do the same in the rest of the UK.
781563	782804	Lastly, I want to make this point.
783304	789290	Some of those people on the lowest incomes have been massively hit by welfare cuts.
789310	795555	And I think the time has come to end punishing disabled people, end a bedroom tax,
800092	804541	and leaving people with the lowest incomes with too little to pay for the essentials.
805202	807767	That changes about political changes.
807887	819349	On the direct point of payments to help people who are disabled, we are a party who will always support those in most need and the Welfare Bill for helping people on disabilities
819329	823513	has gone up 7 billion in the past seven years and is now at 50 billion.
823533	826535	We will always provide that safety net where it's needed.
826636	833722	Amber, you've tried to take personal independence payments away from people with disabilities and then you turned yourselves around in a few days on that.
833742	835063	You're not credible on this issue.
835083	849336	Jeremy, I know there is no extra payment you don't want to add to, no tax you don't want to rise, but the fact is we have to concentrate our resources on the people who need it most and we have to stop thinking, as you do, that there's a magic money tree.
849316	852805	You have to be accountable for the money you want to spend.
853206	854690	I'd like to bring in some of the other parties.
854750	859222	Tim Farron, you've argued for this election being about providing a good and credible opposition.
859623	864355	Which of these parties do you think has the right economic formula for living standards?
864335	867299	I mean, to answer Nicola's question, I mean, economics is about people.
867619	868680	It's not about figures.
868700	873927	It's about people's experience and how they can afford to feed their children and look after them.
875328	880134	Like many people, I have known in my life what it's like to not be able to pay the bills.
880415	885641	It matters to me that we build a country for all of our children where people are decent to one another.
885941	888304	A strong welfare state is essential.
888364	893751	I've been helping two people in my constituency with their PIP payments in the last month.
893731	898220	both of whom were chief executives of different companies in the not-too-distant past.
898240	907538	Everybody out there who thinks that welfare is some kind of a burden needs to remember that any one of us is only one or two steps from being in need at any given time.
908817	912788	And just to answer the question specifically, what will we do?
912808	914232	We will end the benefit freeze.
914252	919066	Since the crash in 2007-08, the public sector pay freeze as well.
919086	923839	But since that crash, public sector workers have probably borne the brunt of that.
923819	932652	those cuts, whether it be nurses, teachers, doctors, social care workers, but you also need to support people to be able to go to work and have the ability to choose it.
932672	947093	That's why we'll invest that money, £3.6 billion, into childcare for two-year-olds, £5.6 billion for two-year-olds, to make sure parents have got the ability to go out to work.
947073	971764	I want to come back to Nicola's point because I think the situation that you described Nicola is something that people feel up and down this country you know and for Amber to say that this is a government that actually cares for those most vulnerable I think is downright insulting to the kind of people that I see in my constituency surgery.
972419	982017	Letters from a man who can't actually get into the surgery because he hasn't got his mobility scooter and he hasn't had it for six weeks because the DLA payment going on to PIP has now been delayed.
982378	983500	He is just stuck there.
983761	992858	You know, I think there is just simply not a recognition from this government about the pain that it is inflicting on some of the most vulnerable people in our society.
992838	998990	And it is a matter of political choices, because we are the fifth biggest economy in the world.
999391	1005021	And yet, we are a country that has four million children living in poverty.
1005082	1009149	We are a country where a million food parcels were given out last year.
1009570	1011594	That is just simply quite wrong.
1011614	1014660	And so the Green Party is quite upfront about saying,
1014640	1017825	We would make those with the broadest shoulders pay more.
1017946	1026380	We would reverse the changes in corporation tax, which has allowed Theresa May to come up with this vision of the country as some kind of bargain basement tax haven.
1027382	1029586	Corporations should be paying their way as well.
1029946	1031449	The money is there if people want to.
