,id,label,gold_similarity
0,344,105,0.27838135485827276
1,344,301,0.16028461173736877
2,348,105,0.1393488971160396
3,352,105,0.33676538705899733
4,362,105,0.3216666007605509
5,362,301,0.3630772410912095
6,366,105,0.20490937451316735
7,369,2012,0.04749941781209026
8,370,2012,0.2911399802086898
9,373,105,0.13141952819133734
10,373,602,0.14395706099651143
11,384,105,0.1744788636720814
12,384,2012,0.09995578221572791
13,386,1303,0.08341960640775695
14,393,202,0.30121051044507036
15,406,2012,0.15720885549102342
16,409,105,0.106804597208127
17,409,602,0.2550211032045662
18,417,105,0.2254132785149327
19,417,2012,0.13800978684957912
20,420,105,0.06458411300819909
21,426,105,0.17547600112097858
22,431,2012,0.18534403813665085
23,438,105,0.08102838291229382
24,438,705,0.17687772008709973
25,440,105,0.19736881340070872
26,444,105,0.10766001280442647
27,456,1926,0.11021035759422596
28,457,105,0.16665924786625455
29,457,1303,0.16247998531900754
30,458,105,0.10663057468628068
31,464,2012,0.20352452037482496
32,470,2012,0.18346202704966738
33,476,105,0.26529357589119024
34,478,105,0.2502177172477702
35,487,301,0.25862763497789626
36,488,705,0.27188840327897057
37,491,105,0.3234137940046658
38,492,2012,0.21458173941800263
39,504,105,0.1743567363942911
40,504,2012,0.15007147028408668
41,506,105,0.23651288807860607
42,507,105,0.21607921723945475
43,509,1209,0.45417890110744574
44,510,105,0.21668225615504136
45,513,105,0.18022746108140936
46,513,705,0.19051551845798298
47,520,105,0.3155627251675135
48,525,1303,0.18211819659530318
49,533,2012,0.20790250055029527
50,534,105,0.24302677771424427
51,534,301,0.2500617269934647
52,534,1926,0.1336507337279272
53,544,1303,0.30575186506663926
54,548,105,0.21401736193928514
55,552,2012,0.11531114414688182
56,556,705,0.14012587882693875
57,557,105,0.14749872411727794
58,559,202,0.1912308710576085
59,561,105,0.2431145090126331
60,561,301,0.3211377257000223
61,564,105,0.09629791094095223
62,565,301,0.14235790553273084
63,568,100,0.15484030803943788
64,578,301,0.24019122254517974
65,591,105,0.09521733838320531
66,597,2012,0.20011426279946448
67,600,105,0.08771175652755708
68,600,705,0.15495691187217514
69,610,1926,0.20414560595959155
70,618,1209,0.09081515980742993
71,618,1627,0.07549010411148709
72,619,1610,0.24867886418226662
73,621,2012,0.28860009700175143
74,623,105,0.2658716104738097
75,623,301,0.39429097545179703
76,629,105,0.2384383627364129
77,629,2012,0.23463489437767343
78,631,105,0.06804892007834629
79,640,2012,0.06943370686874453
80,641,105,0.12244000914434285
81,650,105,0.3227379187787424
82,653,2012,0.07356885412774472
83,654,202,0.16858876821471686
84,656,2012,0.14081625379556648
85,659,1926,0.1151796728275094
86,664,105,0.11119318717611952
87,664,705,0.24469678425414157
88,666,1926,0.10514803852690763
89,674,2012,0.2084476281462196
90,675,2012,0.11075122584807351
91,676,105,0.2386544564692044
92,676,301,0.32736956059219907
93,677,105,0.22925242422124817
94,678,105,0.24919329731625756
95,678,1610,0.1505419380296128
96,682,105,0.0856397021338174
97,685,105,0.19104031307645641
98,691,1608,0.23722940676269877
99,691,105,0.1866243374104792
100,693,100,0.14259337037204245
101,695,1627,0.10379897531259083
102,697,105,0.1290426924678686
103,702,100,0.18909771784564036
104,703,1303,0.22550401742676696
105,705,105,0.15516728780902575
106,707,105,0.01769647247563013
107,712,1610,0.29068973627470857
108,715,105,0.26630480555628994
109,715,301,0.3592844367891069
110,721,105,0.16456837292471563
111,721,301,0.17116700341813285
112,729,2012,0.22819438466617148
113,739,2012,0.1538012750818812
114,740,1926,0.04587361738555534
115,749,1610,0.4348881554310032
116,750,2012,0.13393122975953312
117,756,301,0.12659020138959248
118,757,105,0.1578092270585983
119,764,105,0.22848052186337853
120,764,1209,0.41386388212157965
121,765,1926,0.0055588905674591686
122,767,2012,0.1764542495292302
123,772,1608,0.19979566249415803
124,772,105,0.13394614103944932
125,775,105,0.05522141268681685
126,778,1926,0.18428349940883243
127,781,105,0.2509582615991935
128,783,1926,0.026636437748033075
129,785,1209,0.0
130,786,105,0.03550016642304718
131,792,1803,0.18587817572557058
132,793,105,0.2880781790709434
133,793,301,0.3116454678521862
134,801,105,0.1290758120228648
135,801,1610,0.13350029412327746
136,808,105,0.13933725456643514
137,808,2012,0.0591635805394088
138,811,1410,0.5384142203939731
139,812,105,0.040545870139260684
140,813,105,0.19205014708283813
141,813,2012,0.20727170854756893
142,814,105,0.22603776704588435
143,816,105,0.17267891474638344
144,828,2012,0.18148852011883307
145,830,105,0.20859711525323985
146,830,1303,0.47838097264916823
147,833,105,0.18549714522915048
148,835,105,0.33471849972573864
149,839,105,0.2629691695256992
150,840,2012,0.20884643671455405
151,842,1926,0.10315824768903213
152,843,705,0.23965009605021734
153,845,105,0.17421014311435765
154,849,105,0.17304020951075358
155,849,301,0.16923507364484908
156,850,2012,0.11168034049516293
157,852,105,0.14111162567152485
158,852,301,0.2308337578761654
159,853,105,0.27244744185337066
160,853,301,0.35004022759997017
161,855,300,0.24735430044272938
162,855,1300,0.17420483423553712
163,857,1803,0.23850834136861465
164,861,2012,0.09287474036043329
165,862,105,0.2870587692493267
166,862,301,0.3896299866583161
167,867,2012,0.12648267144346192
168,874,2012,0.22912130671140019
169,878,1803,0.28418406466481694
170,885,1803,0.19611848157958195
171,893,105,0.19517610687654252
172,896,1803,0.1081834884388734
173,902,602,0.23738105486915437
174,902,301,0.305553347253626
175,904,1803,0.309480200134737
176,912,1608,0.2666351571988478
177,913,2012,0.11146163132261602
178,915,2012,0.07577988851748305
179,916,105,0.2214607931860766
180,916,301,0.2708976588636365
181,930,105,0.28841076658205267
182,932,105,0.22835409184381922
183,932,602,0.3080250281666172
184,933,2012,0.18071124415806034
185,935,2012,0.24157384402895912
186,936,105,0.12117124933296518
187,938,105,0.2655719577199657
188,939,2012,0.17231101701574952
189,944,2012,0.19995219901266498
190,954,105,0.06919816062614217
191,960,301,0.31460356839826203
192,963,1803,0.36766561725204566
193,967,2012,0.12461397966291746
194,969,1803,0.11840894165450053
195,972,705,0.07921840435099091
196,972,1803,0.05959850438126686
197,973,1926,0.23837548027908356
198,981,2012,0.2632229896572737
199,984,105,0.22802267949517405
200,984,602,0.4653814891572568
201,986,200,0.05177911952534462
202,986,100,0.07340717526315274
203,988,105,0.07255677830660515
