,id,reasoning,supercategories,claim_labels,watch_labels,text
0,344,"The excerpt discusses economic policy choices (putting working families first, cutting the deficit, balancing the books) and contrasts the speaker's vision with that of David Cameron. There is also a reference to the National Health Service (NHS), which falls under the healthcare category.","[100, 300]","[100, 105, 300, 301]","[105, 301]","Ed Miliband. You've heard tonight from five different parties, but there's one fundamental choice at this election. Do we carry on with a conservative plan that says we should put the richest and most powerful first in our country? or do we choose a different idea? I believe it's time to put working families first again in our country, putting your living standards first, having more doctors and nurses in our National Health Service, having a future for our young people, all underpinned by cutting the deficit every year and balancing the books. Now, David Cameron refused to come and debate tonight, but I've got a message for him. David, if you think this election is about leadership, then debate me one on one. I believe my ideas, my vision for the country is better for the working families of Britain. If you disagree, then prove it. Debate me and let the people decide."
1,348,"The text discusses the financial implications of leaving the EU, specifically mentioning payments and control over money. It also touches on the desire for control over borders and laws, which are often associated with sovereignty and national identity.","[1900, 100]","[100, 105, 1900, 1910]",[105],"It isn't a question of what it's worth paying to get out. It's a question of what is going to be the right deal for us to leave the European Union, which will stop us from paying huge sums of money into the EU every single year, which will enable that we have control of our money and our borders and our laws."
2,352,"The excerpt discusses the current tax burden, the need for economic growth, and the impact of economic performance on public services.  The speaker criticizes the current government's tax policies and promises to lower taxes for working people.  The mention of ""the economy"" and ""public services"" points to discussions within the macroeconomics and social welfare domains.","[100, 1300]","[100, 105, 1300]",[105],"Well, the first thing I'd say is the Tories are in no position to lecture anyone about tax rises. We've got the highest tax burden. For 70 years. And I think that working people shouldn't pay more tax and we will not raise their tax. OK. What we need to do is get the economy going. There's a reason that taxes have gone up so much in recent years, and that's because the economy is flatlining. We have to address that problem. And tomorrow, our manifesto is a plan for growth, a detailed plan of the first steps we will do in government to get our economy working so that living standards go up and we have the money we need for our public services."
3,362,"The excerpt discusses taxation, public spending on the NHS, and the need for reform. There are explicit mentions of not increasing taxes, funding the NHS, and the need for a preventative model.","[100, 300]","[100, 105, 300, 301]","[105, 301]","Well, in relation to taxation, I do need to be really clear. We are not going to increase income tax, national insurance or VAT. And the reason for that is because I think with the tax burden being as high as it is and a cost of living crisis, that is the wrong thing to do, particularly for working people. So we're not going to do that. We will put some immediate money into our public services. I ran a public service for five years. I believe in our public services and I know they need to be properly funded so we will put in money to the NHS straight away and the purpose of that will be to allow us to do 40,000 extra appointments and operations every week That's 2 million a year extra appointments to bring the waiting list down, because it's nearly 8 million now and we've got to get it down. And what about defence? And that will allow the NHS to be properly, you know, to get back on its feet. We'll have to then make it fit for the future. And what about defence? That's also in the question. Where are you going to find the money for that if you don't increase streams of taxation? Defence has to be the first priority of any government defending your country, and therefore we will always make the money available for defence. And you can see at the moment we live in a particularly volatile world. So we will make the money available for defence, we will put that extra money into the NHS, and I want to see our public services running properly. And my wife works in the NHS, my mum worked in the NHS, my sister worked in the NHS, and to see it in the state that it's in now, where I say it's on its knees, my wife says no it's not, it's flat on its face. is a complete disgrace. After 14 years of this government, we will have to pick it up, put it back on its feet, but also do something else, reform, to make sure that it's fit for the future. That will require a different model, a preventative model. I'll just give this one last example. Very brief, if you want, because there are a lot of hands up. I went to Alder Hey Children's Hospital. Some people will know it. It's a brilliant children's hospital. in Liverpool, where I saw heart surgery, or the wards where they do it, on children aged 0-2. It was very humbling and uplifting, but I also discovered that the single most common reason that 6-10 year olds are admitted to the children's hospital there, same across the country, is to have their teeth taken out because of teeth decay. That is a complete and utter disgrace. So we need to move the model and change the model for the NHS as well. Thank you."
4,366,"The excerpt discusses the economic policies of different political parties, specifically focusing on austerity measures and their impact on poverty. There are mentions of government spending, the deficit, and the potential consequences of these policies on vulnerable populations.",[100],"[100, 105]",[105],"I don't say there is no difference between Ed Miliband and David Cameron, I say there is not a big enough difference between Ed Miliband and David Cameron. Charlotte's question was rightly about the next generation. We have experts saying that if we continue with austerity cuts, by 2020 there are going to be one million more children across the UK living in poverty. That would be a betrayal of the next generation. What I am proposing is responsible, modest spending increases that still gets the deficit down, because yes, that is important, but doesn't do it by heaping more and more pain onto the backs of the people who can least afford it. And I want to say to Ed, We share a desire to see the back of the Tories, but surely we don't want to replace the Tories with Tory light."
5,369,"The excerpt mentions a representative, implying a discussion about political parties and campaigns. 

```json",[2000],"[2000, 2012]",[2012],Given you are David Davis's representative on this programme...
6,370,"The excerpt discusses Brexit, a people's vote, and the potential consequences of a Conservative government.  There are clear references to political parties, the desire for national unity, and the impact of austerity.","[1900, 2000]","[1900, 1910, 2000, 2012]",[2012],"Thank you. Sian Berry. I understand completely the motivation behind the question, because we're all really just hoping that the country will stop being so divided. And I have to say, I really, truly believe that the best way to finish off Brexit, to finish off this process, is with more democracy, with a people's vote. And I think, I mean, looking around this panel, we've got a majority of parties here who are committed to putting back the Brexit question in a people's vote. I do believe that's the best way to finish it off. And I do believe that Brexit would be a disaster. The reason I want to get a people's vote done is so we can get back to fixing the country, to dealing with the problems that austerity caused. And I don't think we can trust the Conservatives with another vote in this election, another government, because they've had three years, they've made a hash of Brexit, and they cannot be trusted again. Thank you. Nigel Farage."
7,373,"The text explicitly discusses the cost of Trident (£200 billion) and advocates for spending on health and education instead. This points to 100 (Macroeconomics) and 600 (Education). The text also mentions a moral objection to weapons of mass destruction, which could be linked to 200 (Civil Rights).","[100, 600, 200]","[100, 105, 200, 600, 602]","[105, 602]","Less important? I think Trident is both a financial issue, I don't think we should waste £200 billion on it, but it's a moral issue. We should be investing in health and education, not in weapons of mass destruction."
8,384,"The text discusses the upcoming election, contrasting the Labour Party's approach with the Conservatives.  There are mentions of economic policy (""gimmicks or unfunded promises"", ""practical, common-sense plan to change Britain""), and the potential consequences of continued Conservative rule (""decline and division"").","[100, 2000]","[100, 105, 2000, 2012]","[105, 2012]","Thank you. I don't offer you the gimmicks or unfunded promises that Rishi Sunak does. I don't pretend there's a magic wand that will fix everything overnight. Instead, I offer a practical, common-sense plan to change Britain. This election is about who our country works for. The simple patriotic belief that Britain can be better and must be better. Imagine how you would feel waking up on July the 5th to five more years of the Conservatives. Five more years of decline and division. The arsonists handed back the matches. Now imagine turning the page with a Labour government that rolls up its sleeves and gets on with the job. That puts the country back in your service. The choice at this election is clear. More chaos with the Conservatives, or the chance to rebuild Britain with a changed Labour Party."
9,386,"The text discusses encouraging people to have children, which falls under social welfare policies. 

```json",[1300],"[1300, 1303]",[1303],I think we should encourage people to have families. I think we should encourage people to have children.
