id,reasoning,supercategories,claim_labels
0,"The speaker is discussing the relationship between stop-and-search and knife crime, citing evidence to support their claim.",[1200],"[1200, 1206, 1211]"
1,"The excerpt discusses the link between poverty and underperformance in the classroom, and proposes solutions through tax proposals and the 'pupil premium'.","[100, 200]","[100, 105, 200, 201]"
2,"The excerpt does not explicitly mention any specific policy or issue, but it implies a lack of action or inaction on a particular issue.",[],[]
3,"The excerpt discusses tax policy, specifically targeting tax loopholes for the wealthy and proposing a tax relief for pension contributions, while also mentioning income tax on the first £10,000 earned.","[100, 200]","[100, 105, 200, 201]"
4,"The excerpt does not mention any specific policy or issue, so no relevant codes can be applied.",[],[]
5,"The excerpt discusses the impact of mass migration on housing and the economy, specifically the need to build new homes to accommodate legal net migration and the effect of mass migration on GDP per capita.","[1400, 200]","[200, 230, 1400, 1401]"
6,The excerpt discusses the importance of big business in the country and the potential consequences of leaving the European Union.,"[100, 1900]","[100, 105, 1900, 1910]"
7,"The excerpt discusses the need to manage public spending, specifically in the context of the NHS, and mentions the need to improve the return on investment.",[100],"[100, 105]"
8,"The excerpt discusses the relationship between benefits, work, and dependency on the state, with the speaker arguing that incentives to work are more effective than constant benefits.","[100, 1300]","[100, 105, 1300, 1302]"
9,The excerpt discusses the NHS strikes and the need for a resolution to the dispute between the government and doctors. The speaker emphasizes the impact on patients and the need for 'grown-up' politics to resolve the issue.,[300],"[300, 301]"
10,"The excerpt discusses the need for migration in Scotland due to a declining working-age population, and criticizes the 'race to the right' in Westminster.","[500, 200]","[200, 201, 500, 529]"
11,"The excerpt mentions the SNP and Tory, indicating a discussion about political parties and their policies, specifically regarding austerity.","[2000, 100]","[100, 105, 2000, 2001]"
12,"The excerpt mentions Brexit, which is a key aspect of international relations and trade.",[1900],"[1900, 1901]"
13,"The excerpt discusses the aftermath of a terrorist attack, the state of the justice system, and the government's policies, particularly tax giveaways to the rich and big business. It also mentions the National Health Service and schools.","[100, 200, 300]","[100, 105, 200, 201, 300, 301]"
14,"The excerpt discusses the Prime Minister's apology to veterans and the importance of treating veterans with respect, which is related to Defence and Veterans Issues.",[1600],"[1600, 1609]"
15,"The excerpt discusses fairness in the context of immigration rules, specifically mentioning the impact on family reunion and the need for fair rules.",[200],"[200, 201]"
16,"The excerpt discusses the UK's decision to leave the EU, the current state of the Brexit deal, and the speaker's stance on rejoining the EU or specific EU policies.","[1900, 100, 200]","[100, 101, 200, 201, 1900]"
17,"The question is about the government's fiscal policy, specifically how to reduce the deficit and achieve a balanced budget.",[100],"[100, 105]"
18,"The excerpt discusses the speaker's stance on a policy and their relationship with the European Court of Human Rights (ECHR). The speaker emphasizes their commitment to national security and compliance with international obligations, but also highlights their willingness to prioritize national security over ECHR membership.","[100, 200, 1900]","[100, 105, 200, 201, 1900, 1926]"
19,"The text mentions refugees, which is related to immigration and civil rights.",[200],"[200, 230]"
20,"The excerpt mentions the Greens holding someone to account in Parliament, which implies a focus on accountability and governance.",[2000],"[2000, 2011]"
21,"The excerpt mentions the 'Bedroom Tax', which is a policy related to housing and welfare. The speaker is criticizing the previous government for voting for it nine times, implying that it is a negative policy.",[1400],"[1400, 1401]"
22,"The speaker emphasizes the importance of local control and community involvement in addressing housing needs, suggesting that council housing and social housing should be managed by local councils for local residents.","[1400, 1300]","[1300, 1302, 1400, 1401]"
23,"The excerpt discusses various policy proposals by the Labour party, including NHS, minimum wage, living wage, and social care.","[100, 300, 1300]","[100, 105, 107, 300, 301, 1300, 1303]"
24,"The excerpt discusses the relationship between population growth, labor shortage, and the need to make work pay and train local people.","[500, 100]","[100, 103, 500, 502]"
25,"The excerpt discusses various policies related to housing and energy, with a focus on making owning and running a household more affordable.","[400, 100, 600]","[100, 105, 400, 401, 600, 601]"
26,"The excerpt discusses the economic proposals of the speaker, specifically the financing of tax cuts, and compares them to the proposals of David Cameron, highlighting the risk of shrinking the economy.",[100],"[100, 101, 103]"
27,"The excerpt discusses the collapse of trust in politicians due to unfulfilled promises, specifically referencing the Labour Party manifestos and the Conservative government's leaflet on the referendum.","[200, 100]","[100, 105, 200, 201]"
28,"The excerpt discusses the National Health Service, climate change, and economic policies. The speaker agrees with the idea of working together on healthcare but disagrees with the current approach to addressing climate change, which they believe disproportionately affects the poor.","[300, 100]","[100, 101, 300, 301]"
29,"The excerpt discusses the response to terrorism, police numbers, and the importance of civil liberties.","[1600, 1200]","[200, 207, 1200, 1209, 1600, 1627]"
30,"The excerpt discusses the disenfranchisement of the north of England and the benefits of a proportional system, as well as the abolition of the House of Lords. The speaker also mentions Scotland's independence and the Scottish Parliament's hybrid proportional system.","[100, 200, 600]","[100, 105, 200, 201, 600, 601]"
31,"The excerpt discusses the need to balance the country's books, cutting the deficit, and implementing a fair tax plan. The speaker rejects David Cameron's plan to double the spending cuts, citing the negative impact on the NHS. The speaker's plan involves reversing the tax cut for millionaires, clamping down on tax avoidance, and protecting key areas like education and health.","[100, 200]","[100, 105, 107, 200, 201]"
32,The text does not contain any specific policy proposals or topics from the codebook.,[],[]
33,"The excerpt discusses the Liberal Democrat's goal to maximize their number of MPs and the leader's approach to focus on winning local champions, which is a key aspect of the party's strategy.",[2000],"[2000, 2012]"
34,"The excerpt discusses the need for alternative transportation systems and the willingness of the public to use public transport if it is reliable, affordable, and safe. It also mentions the lack of alternative methods of transportation in the past.",[1000],"[1000, 1005, 1006]"
35,"The excerpt discusses the importance of balance and fairness in the country's economic plan, with the speaker arguing that their plan is both balanced and fair. The speaker criticizes Nigel's plan to double the cuts next year, which they believe will be a disaster for public services, and also criticizes his plan to cut the top rate of income tax further for the highest earners.","[100, 200]","[100, 105, 200, 201]"
