,id,label,gold_similarity
0,346,1302,0.1699049396542751
1,347,1205,0.10646588973659245
2,350,803,0.21328023442352095
3,350,101,0.10185380539684089
4,353,201,0.15745268072740348
5,353,1907,0.13989199333218963
6,355,1302,0.15408568583973326
7,357,2001,0.3754755884226167
8,360,1302,0.19949121575912457
9,364,201,0.07822945736503208
10,365,108,0.02078855556273282
11,374,1302,0.15634187850812925
12,375,1202,0.1333261379579054
13,375,1211,0.3438597021723333
14,376,201,0.10546863080539692
15,376,529,0.35708858099744706
16,377,701,0.007799739255275227
17,377,703,0.018552601977728723
18,378,806,0.10362804789082737
19,378,1302,0.0902014472168173
20,379,508,0.13020050067661867
21,379,1302,0.1721521449123796
22,379,103,0.09827837459837277
23,380,201,0.10732645532132794
24,381,1401,0.09239226967080989
25,382,207,0.11658078774096643
26,387,703,0.06562790322414355
27,390,108,0.019863291793910366
28,392,1302,0.16199028004356159
29,396,1202,0.2033228602704788
30,396,1206,0.11373068814183632
31,398,529,0.3410749195006829
32,400,103,0.07520646496511178
33,402,1202,0.09262740022667414
34,402,1211,0.1345934398090957
35,405,1603,0.12346573183098535
36,407,1302,0.10566410444982707
37,410,2011,0.34117417840417685
38,411,201,0.09083340615227792
39,411,1901,0.04585738732115982
40,413,806,0.21408763418335366
41,415,505,0.307733580690428
42,415,506,0.17828284382252488
43,421,1406,0.08782246152569403
44,422,201,0.16309078313922745
45,425,1207,0.14573152242472295
46,427,1202,0.2814668560578837
47,427,1211,0.4655800785303426
48,428,1302,0.08708453962315554
49,430,108,0.13393912197384872
50,434,529,0.23359283229973318
51,434,108,0.199874249040016
52,434,1302,0.09772567858158798
53,435,2011,0.12042212507363399
54,436,2011,0.04226591026956578
55,443,201,0.08887136846639364
56,448,502,0.09328790711947928
57,448,1302,0.10282001745286515
58,449,325,0.34800848065557
59,451,101,0.20013297021352605
60,453,1302,0.23246901091589484
61,459,2011,0.49655189459677657
62,460,101,0.11972153283647885
63,461,603,0.21600163636619682
64,463,1302,0.17724587713850162
65,465,2011,0.21250733685531636
66,468,1205,0.24053171974425108
67,468,101,0.2862799193243764
68,468,103,0.12747261355060494
69,469,1211,0.3165648284799104
70,469,1901,0.03862793657538249
71,471,1211,0.31558225038306364
72,471,1206,0.1891603735348132
73,472,401,0.1682359928216945
