id,reasoning,supercategories,claim_labels
344,"The excerpt discusses economic policy choices (putting working families first, cutting the deficit, balancing the books) and contrasts the speaker's vision with that of David Cameron. There is also a reference to the National Health Service (NHS), which falls under the healthcare category.","[100, 300]","[100, 105, 300, 301]"
345,"The excerpt discusses immigration policy, including a proposed amnesty for illegal immigrants and the desire to reduce immigration levels. This clearly falls under the 200 (Civil Rights) and 230 (Immigration) categories.

```json",[200],"[200, 230]"
346,The excerpt discusses the need for increased funding for social care and the potential for cost savings through better allocation of resources. It also mentions raising taxes to fund these improvements.,"[100, 1300]","[100, 105, 107, 1300, 1302]"
347,"The excerpt discusses the release of a terrorist and the need for security measures. It touches on the need for risk assessment,  lessons to be learned, and the desire to avoid ""draconian"" changes in the law. This points to discussions around security, terrorism, and potentially civil liberties.","[1200, 1600]","[1200, 1205, 1600, 1627]"
348,"The text discusses the financial implications of leaving the EU, specifically mentioning payments and control over money. It also touches on the desire for control over borders and laws, which are often associated with sovereignty and national identity.","[1900, 100]","[1900, 1910, 100, 105]"
349,"The excerpt discusses the need for a fair and workable immigration system, mentioning concerns about strain on housing and public services. It also proposes a regional approach to immigration, comparing it to systems in Canada and Australia.",[200],"[200, 230]"
350,"The text discusses the future of the oil and gas industry, mentioning different political stances on the issue. The Conservative Party's stance is presented as believing oil and gas will be around forever, while the Labour Party wants to shut down the North Sea oil and gas sector. The SNP advocates for a middle ground that balances net-zero goals with job protection.  The mention of ""tax"" is not explicit, and the text focuses on the future of the industry rather than specific tax policies.","[800, 100]","[800, 803, 100, 101]"
352,"The excerpt discusses the current tax burden, the need for economic growth, and the impact of economic performance on public services.  The speaker criticizes the current government's tax policies and promises to lower taxes for working people.  The mention of ""the economy"" and ""public services"" points to discussions within the macroeconomics and social welfare domains.","[100, 1300]","[100, 105, 1300]"
353,"The text explicitly discusses the beliefs of a specific religious group (Muslims) and their potential incompatibility with British values. It also mentions ""Sharia law"" and ""jihad,"" which are often associated with religious extremism and discrimination.","[200, 1900]","[200, 201, 1900, 1907]"
354,"The excerpt discusses the speaker's personal religious beliefs and how they inform their political leadership. There is no mention of specific policies or areas of governance.

```json",[],[]
355,"The text discusses reducing the cost of living for people through measures like reducing VAT and council tax. It also mentions increasing people's income through a ""real living wage"".  There is also a reference to the Tories' ""joking living wage"", which implies a discussion about social welfare and potentially a critique of existing policies.


```json","[100, 1300]","[100, 107, 1300, 1302]"
356,The excerpt is purely rhetorical and does not contain any explicit discussion of policy topics.,[],[]
357,"The excerpt discusses the potential for a Scottish independence referendum and the UK government's response to the results. This primarily falls under the category of political processes and governance, with a secondary focus on Scottish autonomy.",[2000],"[2000, 2001]"
358,The speaker explicitly states their desire to remain in the European Union. This directly relates to international cooperation and foreign policy.,[1900],"[1900, 1910]"
359,"The excerpt discusses ""tax rates"" and ""tax burden,"" which directly relate to taxation policy.  The mention of ""BOTH TOGETHER"" suggests a broader discussion of the impact of taxes on the economy, potentially touching on issues of public spending.",[100],"[100, 107]"
360,The text discusses a plan to address child poverty and criticizes politicians who make promises they don't keep. This implies a focus on social welfare and potentially touches on the topic of government accountability.,"[1300, 2000]","[1300, 1302, 2000, 2012]"
362,"The excerpt discusses taxation, public spending on the NHS, and the need for reform. There are explicit mentions of not increasing taxes, funding the NHS, and the need for a preventative model.","[100, 300]","[100, 105, 300, 301]"
363,"The excerpt contains no explicit discussion of policy topics. The phrase ""scaremongering rhetoric"" is a general criticism and does not point to a specific policy area. 


```json",[],[]
364,"The text discusses the Chief Rabbi's fear for his community if Jeremy Corbyn were elected, which implies concerns about racism and discrimination against Jewish people. Additionally, the speaker mentions investigations and apologies from candidates, hinting at potential scandals or misconduct.",[200],"[200, 201]"
365,"The excerpt discusses the impact of regulations on businesses and highlights the positive economic outcomes in areas governed by the Liberal Democrats.  There is a mention of ""tax cuts"" which falls under the 100 category.",[100],"[100, 108]"
366,"The excerpt discusses the economic policies of different political parties, specifically focusing on austerity measures and their impact on poverty. There are mentions of government spending, the deficit, and the potential consequences of these policies on vulnerable populations.",[100],"[100, 105]"
367,"The excerpt expresses confidence in electoral success but contains no explicit discussion of policy. 

```json",[],[]
368,"The text expresses a negative judgment (""failure"") but does not mention any specific policy areas. 

```json",[],[]
369,"The excerpt mentions a representative, implying a discussion about political parties and campaigns. 

```json",[2000],"[2000, 2012]"
370,"The excerpt discusses Brexit, a people's vote, and the potential consequences of a Conservative government.  There are clear references to political parties, the desire for national unity, and the impact of austerity.","[1900, 2000]","[1900, 1910, 2000, 2012]"
371,"The excerpt discusses the European Exchange Rate Mechanism (ERM), implying a discussion about international economic policy and potential discrimination against certain countries within the system.

```json",[1900],[1900]
372,"The excerpt contains no explicit discussion of policy topics. 

```json",[],[]
373,"The text explicitly discusses the cost of Trident (£200 billion) and advocates for spending on health and education instead. This points to 100 (Macroeconomics) and 600 (Education). The text also mentions a moral objection to weapons of mass destruction, which could be linked to 200 (Civil Rights).","[100, 600, 200]","[100, 105, 600, 602, 200]"
374,"The text discusses a potential increase in income tax to fund the NHS, which falls under the macroeconomics category. There is also a mention of the ""dementia tax,"" which could be interpreted as a reference to social welfare policies.  The speaker also makes a disparaging remark about the Prime Minister, which touches on government operations.


```json","[100, 1300, 2000]","[100, 107, 1300, 1302, 2000, 2012]"
375,"The text discusses the issue of Islamist extremism, referencing specific groups and their interpretations of Islamic texts. It also touches upon the need for increased police presence and addressing funding sources for radical mosques.","[1600, 1200]","[1600, 1627, 1200, 1202, 1209, 1211]"
376,"The text discusses immigration policy, including the treatment of work visa holders and asylum seekers. It also touches on the impact of immigration on public services and the economy.","[200, 500]","[200, 201, 500, 529]"
377,"The excerpt discusses the need for action on biodiversity and nature, highlighting issues like road schemes impacting sites of scientific interest, HS2's path through ancient woodland, pesticide use, and a general lack of care for the natural world.  These points clearly fall under the environmental policy domain.",[700],"[700, 701, 703, 705]"
378,"The text discusses the shift from fossil fuels to renewable energy, highlighting the need for a just transition that considers the impact on jobs and communities. This primarily falls under the category of energy policy with a secondary focus on social welfare due to the emphasis on a ""just transition"" and avoiding the mistakes of past deindustrialization.

```json","[800, 1300]","[800, 806, 1300, 1302]"
379,"The excerpt discusses issues of economic inequality, poverty, and social security benefits. There are explicit mentions of poverty rates, the living wage, and the freeze on working-age benefits. These points directly relate to the code categories of 100 (Macroeconomics), 1300 (Social Welfare), and potentially 500 (Labour and Employment).


```json","[100, 1300, 500]","[100, 103, 1300, 1302, 500, 508]"
380,"The excerpt discusses UKIP's stance on Brexit, immigration, and education. It also mentions the party's perception as an outsider and calls for a vote for UKIP.  These points relate to the supercategories of 1900 (International Affairs) and 200 (Civil Rights).","[1900, 200]","[1900, 1910, 200, 201]"
381,"The excerpt discusses the need for increased infrastructure spending, particularly in areas that have historically been underfunded. It also mentions a desire for a fairer tax system to fund this increased spending.","[100, 1400]","[100, 105, 1400, 1401]"
382,"The excerpt discusses the right to freedom of expression and the right of women to choose their attire. While the speaker acknowledges the potential for offense, they emphasize their right to speak out and defend women's freedom of choice. This aligns with the concept of freedom of speech and expression, falling under the 200 category.",[200],"[200, 207]"
383,"The excerpt discusses the limitations of controlling immigration from within the EU, implying a connection to membership in the EU and its associated policies. This points towards the supercategory 1900 (International Affairs) and the subcategory 230 (Immigration).",[1900],"[1900, 230]"
384,"The text discusses the upcoming election, contrasting the Labour Party's approach with the Conservatives.  There are mentions of economic policy (""gimmicks or unfunded promises"", ""practical, common-sense plan to change Britain""), and the potential consequences of continued Conservative rule (""decline and division"").","[100, 2000]","[100, 105, 2000, 2012]"
385,"The text expresses regret for not fulfilling a promise, but it doesn't mention any specific policy areas. 

```json",[],[]
386,"The text discusses encouraging people to have children, which falls under social welfare policies. 

```json",[1300],"[1300, 1303]"
387,"The text discusses environmental policy, specifically focusing on reducing single-use plastics and incentivizing environmentally friendly practices.  There is a mention of ""regulations"" and ""policy frameworks,"" which points towards government action and potentially taxation or levies to achieve these goals.",[700],"[700, 703, 107]"
389,The text is purely conversational and does not touch upon any policy topics.,[],[]
390,The excerpt discusses the need for a domestic skills strategy to reduce reliance on overseas workers. It also mentions unemployment levels and the need to match skills with available jobs.,"[100, 1800]","[100, 108, 1800, 1803]"
391,"The excerpt discusses the Iraq War and the role of the UN in conflict resolution. There are mentions of a ""peace process"" and the UN being used to achieve it.",[1900],"[1900, 1920]"
392,"The text discusses the upcoming Scottish Parliament elections and the impact of Westminster decisions on public spending, social security, and poverty.  There are explicit mentions of public spending and social security cuts.

```json","[100, 1300]","[100, 105, 1300, 1302]"
393,"The text discusses issues of misogyny within the police force and society at large. It mentions a proposed ""Misogyny Act"" and the need for transparency, vetting, and accountability to address these issues.",[200],"[200, 202]"
